Title,Authors,Dates Read,Moods,Star Rating,,
Emotionally Weird,Kate Atkinson,2022/06/23-2022/06/30,,4,,
The Shining,Stephen King,2023/05/25-2023/05/29,,5,,
Wyrd Sisters: The Play,Terry Pratchett,2022/08/14-2022/08/14,,2.5,,
Fahrenheit 451,Ray Bradbury,2024/03/13-2024/03/14,,5,,
Inferno,Dante Alighieri,2024/10/18-2024/10/21,,3,,
The Dangers of Smoking in Bed,Mariana Enríquez,2023/03/19-2023/03/24,,4,,
House Arrest: Pandemic Diaries,Alan Bennett,2022/08/24-2022/08/24,,4.5,,
Orbital,Samantha Harvey,2025/08/01-2025/08/02,"adventurous, emotional, hopeful, inspiring, reflective",5,,
The Double,José Saramago,2022/07/20-2022/08/08,,5,,
Submarine,Joe Dunthorne,2024/02/24-2024/02/28,,4.5,,
The Metamorphosis,Franz Kafka,2022/03/04-2022/03/06,,3,,
Crossroads,Jonathan Franzen,2023/08/13-2023/08/23,,5,,
No Longer Human,Osamu Dazai,2022/06/14-2022/06/15,,3.5,,
Autobiography of Red,Anne Carson,2023/10/09-2023/10/11,,4,,
The Two Towers,J.R.R. Tolkien,2024/04/14-2024/05/08,,3,,
The Sense of an Ending,Julian Barnes,2025/11/06-2025/11/06,"emotional, lighthearted, mysterious",3,,
Killing Time,Alan Bennett,2025/01/15-2025/01/15,"emotional, funny, reflective, sad",3,,
The Stranger,Albert Camus,2022/04/03-2022/04/07,,2.5,,
The Dispossessed,Ursula K. Le Guin,2025/02/13-2025/04/13,"adventurous, emotional, hopeful, reflective",4.5,,
The Gamekeeper,Barry Hines,2025/03/28-2025/04/01,"dark, informative, reflective",5,,
Blindness,José Saramago,,,,,
Street of Thieves,Mathias Énard,2024/11/30-2024/12/12,,5,,
Never Let Me Go,Kazuo Ishiguro,2024/03/27-2024/03/30,,3,,
Radical Chic & Mau-Mauing the Flak Catchers,Tom Wolfe,2023/06/01-2023/06/01,,3,,
Demon Copperhead,Barbara Kingsolver,2025/06/10-2025/06/16,"adventurous, dark, emotional, hopeful, inspiring, reflective, sad, tense",4.5,,
hettie and the ghost,Becca De La Rosa,2022/03/06-2022/03/12,,5,,
Fathers and Sons,Ivan Turgenev,2024/11/14-2024/11/29,,3,,
"Tell Them of Battles, Kings, and Elephants","Mathias Énard, Charlotte Mandell",2024/06/04-2024/06/10,,5,,
Bad News,Edward St. Aubyn,2022/06/13-2022/06/14,,1,,
The Bonfire of the Vanities,Tom Wolfe,2023/04/09-2023/05/04,,4,,
Rosencrantz and Guildenstern Are Dead,Tom Stoppard,2022/12/28-2022/12/29,,5,,
Lost in the Garden,Adam S. Leslie,2025/07/26-2025/07/29,dark,1,,
The Wasp Factory,Iain Banks,2022/09/17-2022/09/19,,5,,
Lolita,Vladimir Nabokov,2024/10/21-2024/10/28,,2,,
A Man Without a Country,Kurt Vonnegut,2025/07/31-2025/07/31,"adventurous, funny, informative",3.5,,
The Gospel According to Jesus Christ,José Saramago,2025/08/01-2025/08/15,"adventurous, challenging, dark, emotional, reflective, sad, tense",5,,
The Poisonwood Bible,Barbara Kingsolver,2022/03/14-2022/03/22,,5,,
White Noise,Don DeLillo,2023/01/30-2023/02/05,,3.5,,
The Madness of King George,Alan Bennett,2025/04/02-2025/04/02,"funny, sad",3.5,,
Naked Lunch,William S. Burroughs,2022/10/29-2022/11/07,,4,,
The Master and Margarita,Mikhail Bulgakov,2023/01/01-2023/01/15,,5,,
The Ragged Trousered Philanthropists,Robert Tressell,2022/01/01-2022/01/15,,3,,
The Safekeep,Yael van der Wouden,2025/08/08-2025/08/08,"dark, emotional, mysterious, tense",4.5,,
Slaughterhouse-Five,Kurt Vonnegut,2022/12/29-2023/01/01,,3.5,,
Wakenhyrst,Michelle Paver,2023/06/20-2023/07/01,,4.5,,
It,Stephen King,2023/06/04-2023/06/19,,5,,
Auto-Da-Fé,Elias Canetti,2023/12/23-2024/01/10,,1,,
Zone,Mathias Énard,2025/04/02-2025/04/12,"adventurous, challenging, dark, emotional, informative, reflective, sad",3,,
Greek Tragedy,Marion Baldock,2024/01/10-2024/01/11,,3,,
